[31/01/2016 | 09:32:13.091947] | {pid= 2464} | {tid=     2448} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.092078] | {pid= 2464} | {tid=     2424} |  ::  | IW023E Error authentication request (AcquireRequestState phase). Reason: Object reference not set to an instance of an object.
[31/01/2016 | 09:32:13.095099] | {pid= 2464} | {tid=     2448} |  ::  | CASW048D ------------ STARTING Acquire Request State --------------
[31/01/2016 | 09:32:13.095139] | {pid= 2464} | {tid=     2424} |  ::  | CASW048D ------------ STARTING Acquire Request State --------------
[31/01/2016 | 09:32:13.097292] | {pid= 2464} | {tid=     2448} |  ::  | CASW049D ------------ ENDING Acquire Request State --------------
[31/01/2016 | 09:32:13.097358] | {pid= 2464} | {tid=     2424} |  ::  | CASW049D ------------ ENDING Acquire Request State --------------
[31/01/2016 | 09:32:13.101072] | {pid= 2464} | {tid=     2448} |  ::  | CASW059D ------------ STARTING Application Acquire Request State --------------
[31/01/2016 | 09:32:13.101221] | {pid= 2464} | {tid=     2424} |  ::  | CASW059D ------------ STARTING Application Acquire Request State --------------
[31/01/2016 | 09:32:13.101283] | {pid= 2464} | {tid=     2448} |  ::  | CASW060D ------------ ENDING Application Acquire Request State --------------
[31/01/2016 | 09:32:13.101368] | {pid= 2464} | {tid=     2424} |  ::  | CASW060D ------------ ENDING Application Acquire Request State --------------
[31/01/2016 | 09:32:13.108673] | {pid= 2464} | {tid=     2424} |  ::  | CASW051D ------------ STARTING Pre Request Handler Execute --------------
[31/01/2016 | 09:32:13.108733] | {pid= 2464} | {tid=     2448} |  ::  | CASW051D ------------ STARTING Pre Request Handler Execute --------------
[31/01/2016 | 09:32:13.124443] | {pid= 2464} | {tid=     2448} |  ::  | CASW005D ------------ STARTING End Request --------------
[31/01/2016 | 09:32:13.124528] | {pid= 2464} | {tid=     2424} |  ::  | CASW005D ------------ STARTING End Request --------------
[31/01/2016 | 09:32:13.125271] | {pid= 2464} | {tid=     2448} |  ::  | CASW020D Unload session
[31/01/2016 | 09:32:13.125384] | {pid= 2464} | {tid=     2424} |  ::  | CASW020D Unload session
[31/01/2016 | 09:32:13.126396] | {pid= 2464} | {tid=     2424} |  ::  | CASW025D Remove request session
[31/01/2016 | 09:32:13.126456] | {pid= 2464} | {tid=     2448} |  ::  | CASW025D Remove request session
[31/01/2016 | 09:32:13.127098] | {pid= 2464} | {tid=     2448} |  ::  | CASW026D Remove session object
[31/01/2016 | 09:32:13.127157] | {pid= 2464} | {tid=     2424} |  ::  | CASW026D Remove session object
[31/01/2016 | 09:32:13.129191] | {pid= 2464} | {tid=     2448} |  ::  | CASW006D ------------ ENDING End Request --------------
